path,read_actions
docs/tasks/101/plan.md,27
docs/tasks/101/groom-demo-plan.html,20
groom-demo-bot/groom_demo/client.py,20
groom-demo-bot/groom_demo/handlers.py,18
CLAUDE.md,8
groom-demo-bot/groom_demo/db.py,5
groom-demo-bot/groom_demo/booking.py,4
bot/middleware.py,3
bot/pyproject.toml,3
docs/tasks/147/research.md,3
/tmp/codex-101-impl-round2.txt,3
bot/main.py,2
bot/llm.py,2
bot/db.py,2
bot/handlers.py,2
bot/security.py,2
tests/test_bot.py,2
tests/test_handlers.py,2
/home/kesha/projects/seedon/infra/docs/tasks/72/multimodal.md,2
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/stt.py,2
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/handlers.py,2
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/vision.py,2
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/regress.py,2
docs/tasks/147/report.md,2
docs/STATE.md,2
docs/tasks/101/research.md,2
docs/tasks/101/codex-review-research.md,2
docs/tasks/101/codex-review-plan.md,2
groom-demo-bot/groom_demo/app.py,2
groom-demo-bot/tests/conftest.py,2
groom-demo-bot/tests/test_full_e2e.py,2
groom-demo-bot/tests/test_dashboard.py,2
groom-demo-bot/tests/test_adversarial_acceptance.py,2
groom-demo-bot/groom_demo/llm.py,2
bot/config.py,1
bot/notify.py,1
bot/prompts.py,1
bot/.env.example,1
bot/seedon-bot.service,1
tests/test_middleware.py,1
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/check_types.py,1
/home/kesha/projects/seedon/infra/docs/tasks/72/bot/db.py,1
docs/tasks/147/codex-review-impl.md,1
/tmp/codex-101-review.txt,1
/tmp/codex-101-review-round2.txt,1
/tmp/codex-101-review-round3.txt,1
/tmp/codex-101-review-round4.txt,1
/tmp/codex-101-plan-round1.txt,1
/home/kesha/.claude/skills/html-artifacts/SKILL.md,1
/home/kesha/.claude/skills/html-artifacts/references/dashboards.md,1
groom-demo-bot/groom_demo/guards.py,1
groom-demo-bot/groom_demo/stats.py,1
groom-demo-bot/tests/test_commands_erasure.py,1
groom-demo-bot/tests/test_booking_replay.py,1
groom-demo-bot/tests/test_public_safety.py,1
groom-demo-bot/tests/test_analytics_retention.py,1
groom-demo-bot/tests/test_provider_swap.py,1
groom-demo-bot/README.md,1
groom-demo-bot/PRIVACY.md,1
groom-demo-bot/dashboard/DEPLOY.md,1
groom-demo-bot/dashboard/index.html,1
groom-demo-bot/tests/test_client_reset.py,1
groom-demo-bot/groom_demo/texts.py,1
/tmp/codex-101-impl-round3.txt,1
groom-demo-bot/groom_demo/domain.py,1
groom-demo-bot/groom_demo/main.py,1
groom-demo-bot/groom_demo/config.py,1
