start,end,day,reset,hours,delta,n,haiku,cost,input_tokens,cache_read_tokens,cache_create_tokens,output_tokens
2026-08-03T06:37:14.250696+00:00,2026-08-03T09:38:45.974238+00:00,2026-08-03,2026-08-04,3.0254787616597283,11.0,105,0,124.4441365,0.201473,142.879123,4.498249,0.614318
2026-08-03T09:38:45.974238+00:00,2026-08-03T12:39:10.649897+00:00,2026-08-03,2026-08-04,3.0068543497721354,7.0,48,0,145.135581,0.113964,205.297596,4.21904,0.575426
2026-08-03T12:39:10.649897+00:00,2026-08-03T15:40:58.612194+00:00,2026-08-03,2026-08-04,3.0299895269340937,5.0,18,0,27.145244999999996,0.056306,62.093429,2.839035,0.095847
2026-08-03T15:40:58.612194+00:00,2026-08-03T18:43:01.302972+00:00,2026-08-03,2026-08-04,3.0340807716714013,6.0,69,0,167.4631415,0.180424,256.477714,2.811771,0.95934
2026-08-03T18:43:01.302972+00:00,2026-08-03T21:44:17.224531+00:00,2026-08-03,2026-08-04,3.021089321904712,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-08-04T03:01:33.900278+00:00,2026-08-04T06:02:59.171230+00:00,2026-08-04,2026-08-04,3.023686375551754,8.0,80,0,131.981524,0.122926,264.930505,2.897322,0.699009
2026-08-04T07:00:25.470231+00:00,2026-08-04T10:04:56.088562+00:00,2026-08-04,2026-08-11,3.0751717585987515,14.0,210,0,396.8055990000001,0.335042,647.926025,8.422918,1.590816
2026-08-04T11:15:33.081755+00:00,2026-08-04T14:16:56.295681+00:00,2026-08-04,2026-08-11,3.0231149794658023,3.0,18,0,32.603162,0.02143,63.443206,3.042961,0.114813
2026-08-04T14:16:56.295681+00:00,2026-08-04T17:18:38.713307+00:00,2026-08-04,2026-08-11,3.028449340528912,5.0,53,0,84.02308350000001,0.08332,145.861709,6.056296,0.290087
2026-08-04T17:18:38.713307+00:00,2026-08-04T20:19:57.212708+00:00,2026-08-04,2026-08-11,3.021805389192369,7.0,65,2,159.9117822,0.142888,190.498875,6.071484,0.648822
2026-08-04T20:19:57.212708+00:00,2026-08-04T23:21:18.395742+00:00,2026-08-04,2026-08-11,3.0225508427619934,0.0,1,0,0.7823810000000001,0.010018,0.015058,0.072133,3.3e-05
