spawn_worker	129	14	984	1120	[(1056, "'POST'", "'/api/sessions'")]	['name', 'task', 'repo_path', 'model', 'system_prompt', 'task_id', 'description', 'base_branch', 'role', 'mcp_servers', 'owned_dirs', 'tg_topic', 'delivery_id', 'disabled_tools']
delivery_status	19	1	1125	1143	[(1133, "'GET'", '_delivery_status_path(delivery_id)')]	['delivery_id']
retry_initial_delivery	9	3	1148	1156	[]	['name', 'task', 'delivery_id']
acquire_test_lock	14	1	1161	1174	[(1165, "'POST'", "'/api/test-lock/acquire'")]	['reason']
release_test_lock	9	0	1179	1187	[(1180, "'POST'", "'/api/test-lock/release'")]	[]
test_lock_status	8	0	1192	1199	[(1193, "'GET'", "'/api/test-lock'")]	[]
send_message	54	4	1283	1336	[(1310, "'POST'", "f'/api/sessions/{to}/send'"), (1315, "'GET'", '_message_delivery_status_path(delivery_id)')]	['to', 'message', 'delivery_id', 'file_path']
message_delivery_status	25	1	1466	1490	[(1482, "'GET'", '_message_delivery_status_path(delivery_id)')]	['delivery_id']
open_fan	20	3	1496	1516	[(1505, "'POST'", "'/api/fan/open'")]	['children', 'deadline_seconds', 'reducer']
list_agents	117	0	1591	1710	[(1592, "'GET'", "'/api/sessions'"), (1640, "'GET'", "'/api/role-icons'"), (1603, "'GET'", "'/api/tm/tasks'")]	[]
list_orchestrators	20	0	1715	1734	[(1716, "'GET'", "'/api/orchestrators'")]	[]
get_worker_logs	12	2	1760	1771	[(1761, "'GET'", "f'/api/sessions/{name}/logs'")]	['name', 'limit']
compact_worker	9	1	1776	1784	[(1779, "'POST'", "f'/api/sessions/{name}/compact'")]	['name']
kill_worker	5	2	1789	1793	[(1790, "'DELETE'", "f'/api/sessions/{name}'")]	['name', 'force']
stop_worker	5	1	1798	1802	[(1799, "'POST'", "f'/api/sessions/{name}/stop'")]	['name']
rename_worker	5	2	1807	1811	[(1808, "'POST'", "f'/api/sessions/{old_name}/rename'")]	['old_name', 'new_name']
file_delivery_status	25	1	1901	1925	[(1917, "'GET'", '_file_delivery_status_path(event_id)')]	['event_id']
send_file	69	4	1935	2004	[(1966, "'POST'", "'/api/tg/send_file'"), (1973, "'GET'", '_file_delivery_status_path(event_id)')]	['path', 'caption', 'as_document', 'event_id']
send_files	75	4	2014	2089	[(2053, "'POST'", "'/api/tg/send_file'"), (2060, "'GET'", '_file_delivery_status_path(event_id)')]	['paths', 'caption', 'as_document', 'event_id']
publish_artifact	17	3	2094	2110	[(2098, "'POST'", "'/api/artifacts/publish'")]	['path', 'caption', 'ttl_seconds']
send_chart	40	4	2115	2161	[]	['kind', 'title', 'data', 'caption']
notify_user	37	3	2166	2204	[(2196, "'POST'", 'path')]	['reason', 'project', 'kind']
update_progress	7	2	2209	2215	[(2210, "'POST'", "f'/api/sessions/{WORKER_NAME}/progress'")]	['percent', 'status']
change_worker_model	7	2	2220	2226	[(2221, "'POST'", "f'/api/sessions/{name}/change-model'")]	['name', 'model']
merge_worker	168	8	2483	2657	[(2522, "'GET'", "'/api/merge-operations/capabilities'"), (2585, "'POST'", "'/api/merge-operations'")]	['name', 'target', 'next_task_id', 'operation_id', 'waive_diff_budget', 'task_outcome', 'expected_head', 'acceptance_note']
resolve_merge_operation	68	2	2662	2732	[(2671, "'POST'", "f'/api/merge-operations/{operation_id}/resolve'")]	['operation_id', 'reason']
switch_worker_branch	51	6	2744	2794	[(2766, "'POST'", "f'/api/sessions/{name}/switch-branch'")]	['name', 'task_id', 'from_ref', 'force', 'promote_current', 'owned_dirs']
check_conflict	12	2	2799	2810	[(2801, "'POST'", "'/api/sessions/check-conflict'")]	['worker_a', 'worker_b']
worker_wip	58	2	2815	2872	[(2817, "'GET'", "f'/api/sessions/{name}/wip'")]	['name', 'base_ref']
report_bug	15	2	2877	2893	[(2892, "'POST'", "'/api/report_bug'")]	['title', 'description']
update_worker_description	5	2	2898	2902	[(2899, "'POST'", "f'/api/sessions/{name}/description'")]	['name', 'description']
set_worker_owned_dirs	33	2	2907	2943	[(2934, "'POST'", "f'/api/sessions/{name}/owned-dirs'")]	['name', 'owned_dirs']
update_worker_prompt	5	2	2948	2952	[(2949, "'POST'", "f'/api/sessions/{name}/prompt'")]	['name', 'system_prompt']
get_worker_info	7	1	2957	2963	[(2958, "'GET'", "f'/api/sessions/{name}'")]	['name']
